CustomerID,FirstName,LastName,Age,PhoneNumber,MonthlySalary,ApprovedLimit
1.0,Aaron,Garcia,63,9629317944,50000.0,4500000
2.0,Abbey,Gonzalez,20,9278790909,33000.0,1400000
3.0,Abbie,Rodrigues,47,9775988997,193000.0,2500000
4.0,Abby,Fernandez,60,9612343117,117000.0,2600000
5.0,Abdul,Lopez,40,9175345317,219000.0,1000000
6.0,Abe,Martinez,28,9763703492,129000.0,1900000
7.0,Abel,Sanchez,65,9878469188,73000.0,2600000
8.0,Abigail,Perez,20,9312500421,268000.0,2200000
9.0,Abraham,Gomez,29,9419749629,163000.0,3100000
10.0,Abram,Martin,37,9748307760,89000.0,1000000
11.0,Ada,Jimenez,27,9114084983,85000.0,2400000
12.0,Adah,Ruiz,49,9377510369,289000.0,2600000
13.0,Adalberto,Hernandez,41,9275637027,229000.0,2700000
14.0,Adaline,Diaz,65,9519253076,253000.0,3900000
15.0,Adam,Moreno,55,9998047318,56000.0,2200000
16.0,Adan,Alvarez,35,9149386281,230000.0,4200000
17.0,Addie,Muñoz,51,9362421503,168000.0,2500000
18.0,Adela,Romero,68,9129350558,204000.0,2600000
19.0,Adelaida,Alonso,58,9556780762,45000.0,900000
20.0,Adelaide,Gutierrez,40,9981571392,269000.0,3600000
21.0,Adele,Navarro,66,9128707865,109000.0,4100000
22.0,Adelia,Torres,38,9755130143,150000.0,1200000
23.0,Adelina,Dominguez,64,9157807459,184000.0,2800000
24.0,Adeline,Vazquez,29,9707391933,142000.0,1300000
25.0,Adell,Ramos,26,9833643293,96000.0,4900000
26.0,Adella,Gil,23,9860014213,43000.0,2500000
27.0,Adelle,Ramirez,69,9613567377,202000.0,1400000
28.0,Adena,Serrano,43,9850668363,108000.0,2400000
29.0,Adina,Blanco,44,9376270084,278000.0,2200000
30.0,Adolfo,Molina,63,9191813781,287000.0,4600000
31.0,Adolph,Suarez,59,9365435418,86000.0,3000000
32.0,Adria,Morales,34,9261139969,169000.0,1100000
33.0,Adrian,Ortega,45,9957610104,138000.0,4000000
34.0,Adriana,Delgado,31,9528688972,112000.0,3700000
35.0,Adriane,Castro,37,9701341235,180000.0,2500000
36.0,Adrianna,Ortiz,65,9150167494,111000.0,1600000
37.0,Adrianne,Rubio,36,9563808129,282000.0,1300000
38.0,Adrien,Marin,34,9488986811,229000.0,4800000
39.0,Adriene,Sanz,21,9669953880,33000.0,3200000
40.0,Adrienne,Nuñez,36,9630748682,169000.0,4600000
41.0,Afton,Iglesias,40,9883645168,268000.0,1300000
42.0,Agatha,Medina,32,9832111103,229000.0,1600000
43.0,Agnes,Garrido,31,9545534969,172000.0,3100000
44.0,Agnus,Santos,47,9413223979,101000.0,1300000
45.0,Agripina,Castillo,27,9409905029,70000.0,2000000
46.0,Agueda,Cortes,60,9831635836,168000.0,1900000
47.0,Agustin,Lozano,64,9518442246,202000.0,4100000
48.0,Agustina,Guerrero,25,9891249533,192000.0,1500000
49.0,Ahmad,Cano,61,9625940161,57000.0,4700000
50.0,Ahmed,Prieto,57,9917217682,122000.0,5000000
51.0,Ai,Mendez,57,9110300525,146000.0,2000000
52.0,Aida,Calvo,60,9864625224,294000.0,3700000
53.0,Aide,Cruz,54,9779254592,247000.0,4100000
54.0,Aiko,Gallego,56,9575734616,242000.0,4200000
55.0,Aileen,Vidal,25,9181511694,243000.0,2200000
56.0,Ailene,Leon,28,9737140572,268000.0,4500000
57.0,Aimee,Herrera,65,9665309079,91000.0,4100000
58.0,Aisha,Marquez,62,9614670209,173000.0,2800000
59.0,Aja,Peña,64,9408267310,147000.0,1500000
60.0,Akiko,Cabrera,32,9686201082,73000.0,3800000
61.0,Akilah,Flores,26,9243583593,166000.0,2800000
